Feature,Importance
price_vs_neighborhood_median,0.2814725324497967
"מ""ר",0.11913134049010617
חדרים,0.11652636808239827
size_vs_property_type,0.09586656317033318
size_vs_neighborhood,0.08225112822265375
גוש/חלקה/תת-חלקה,0.035618546539017894
שנת בנייה,0.029429756101968664
שנת עסקה,0.02888757238119213
שכונה,0.02860958492417232
sqm_per_room,0.02762498342426596
סוג נכס,0.025108118501453183
building_age,0.024987150961468668
building_age_vs_neighborhood,0.021447721162933593
רחוב,0.018117844286207635
קומות במבנה,0.013181998160927445
מספר בית,0.012210419248916258
חודש עסקה,0.0115312285341001
interest_rate_deviation,0.011491035326937132
ריבית בנק ישראל,0.010855395718115973
קומה,0.005650712313035057
