"מ""ר",מחיר,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,שנת בנייה,קומות במבנה,שכונה,ריבית בנק ישראל,רחוב,מספר בית,שנת עסקה,חודש עסקה,price_per_sqm,building_age,sqm_per_room,size_vs_property_type,size_vs_neighborhood,price_vs_neighborhood_median,building_age_vs_neighborhood,interest_rate_deviation
82.5,614000.0,11215-10-26,6,4.0,2,1970.0,8.0,10,0.134,קליבנוב,10,1998,1,7442.424242424242,55.0,20.625,0.05607615526801624,14.237213209733497,-0.42011916971042357,0.5202780996523728,
63.03,627000.0,11191-19-21,6,3.0,2,1960.0,4.0,26,0.134,כרמי,5,1998,1,9947.643979057591,65.0,21.01,-19.413923844731983,-25.16388227049754,-0.19961485225973408,12.549404344779255,
153.63,1591000.0,11192-150-4,6,6.0,1,1986.0,2.0,31,0.134,"זלמן שז""ר",15,1998,1,10356.050250602097,39.0,25.605,71.18607615526801,71.66645491803278,-0.11013891801271115,-16.06693989071038,
46.0,318000.0,10881-14-44,6,3.0,2,1960.0,7.0,10,0.134,סילבר אבא הלל,49,1998,1,6913.04347826087,65.0,15.333333333333334,-36.443923844731984,-22.262786790266503,-0.46136618104209604,10.520278099652373,
70.2,674000.0,10806-58-6,6,3.0,3,1967.0,3.0,12,0.134,דרך הים,64,1998,1,9601.139601139601,58.0,23.400000000000002,-12.243923844731981,-27.586360634081885,-0.39347479000676283,5.455085865257594,
40.32,265000.0,11567-547-14,6,2.0,3,1960.0,4.0,25,0.134,דגניה,73,1998,1,6572.420634920635,65.0,20.16,-42.12392384473198,-14.592386621315192,-0.49810533389127476,0.5566893424036294,
54.3,444000.0,10920-18-71,6,3.0,2,1960.0,4.0,17,0.134,החשמל,14,1998,1,8176.795580110497,65.0,18.099999999999998,-28.143923844731987,-6.915347849176847,-0.12493942037413983,9.892724375995755,
39.25,273000.0,11571-122-69,6,2.0,1,1960.0,3.0,25,0.134,דגניה,26,1998,1,6955.414012738854,65.0,19.625,-43.193923844731984,-15.662386621315193,-0.4688585245101754,0.5566893424036294,
112.0,1104000.0,10802-184-10,6,5.0,0,1993.0,2.0,39,0.134,אביגדור המאירי,28,1998,1,9857.142857142857,32.0,22.4,29.556076155268016,18.572126111560223,-0.1652556390977444,-22.464834276475344,
100.22,1033000.0,11203-32-21,6,4.0,2,1998.0,14.0,19,0.134,מיכאל קשטן,3,1998,1,10307.323887447616,27.0,25.055,17.776076155268015,-22.942187260168836,-0.3765326038812174,-7.077513430544897,
113.0,609000.0,11669-26-33,21,2.0,1,2000.0,2.0,0,0.134,בעלי מלאכה,26,1998,1,5389.380530973452,25.0,56.5,-271.83576298701297,-914.4418699186992,0.561061946902655,-27.36295005807201,
1130.0,2850000.0,11661-13-1,32,24.0,2,1950.0,2.0,0,0.134,המוסכים,13,1998,1,2522.1238938053098,75.0,47.083333333333336,-459.4694485294117,102.55813008130076,-0.2694537686908758,22.63704994192799,
47.33,354000.0,10920-113-26,6,3.0,6,1995.0,6.0,17,0.134,זאב בנין,13,1998,1,7479.399957743503,30.0,15.776666666666666,-35.113923844731985,-13.885347849176846,-0.19957298697832687,-25.107275624004245,
1004.0,712000.0,11661-49-0,32,21.0,1,1975.0,1.0,0,0.134,המוסכים,37,1998,1,709.1633466135459,50.0,47.80952380952381,-585.4694485294117,-23.44186991869924,-0.7945871685671109,-2.362950058072009,
83.0,573000.0,11585-8-3,6,4.0,2,1990.0,2.0,24,0.134,משה שרת,16,1998,1,6903.614457831325,35.0,20.75,0.5560761552680162,-11.04346322722283,-0.42652980137768454,-7.994511525795829,
119.2,888000.0,10797-45-2,9,5.0,1,1970.0,2.0,30,0.134,אבא חושי,6,1998,1,7449.664429530201,55.0,23.84,9.137565485362089,-11.952601809954743,-0.4117032775798877,8.089743589743591,
24.84,154000.0,11112-31-6,6,2.0,3,1940.0,3.0,2,0.134,מאיר (רוטברג),26,1998,1,6199.677938808373,85.0,12.42,-57.60392384473198,-106.74320319432118,-0.23801987894941426,13.389529724933453,
27.9,176000.0,11578-28-25,6,1.0,0,1960.0,5.0,0,0.134,רחוב לא ידוע,0,1998,1,6308.243727598567,65.0,27.9,-54.543923844731985,-999.5418699186993,0.8272154245457918,12.637049941927991,
83.84,715000.0,10804-40-12,6,4.0,2,1987.0,11.0,39,0.134,סטפן וייז,19,1998,1,8528.148854961832,38.0,20.96,1.3960761552680196,-9.587873888439773,-0.27780044696665335,-16.464834276475344,
80.28,695000.0,10804-74-6,6,3.0,2,1982.0,3.0,39,0.134,קאודרס,1,1998,1,8657.19980069756,43.0,26.76,-2.1639238447319826,-13.147873888439776,-0.2668718695093488,-11.464834276475344,
79.96,543000.0,11575-45-9,6,4.0,3,1980.0,2.0,24,0.134,הראשונים,25,1998,1,6790.895447723862,45.0,19.99,-2.48392384473199,-14.083463227222836,-0.4358931564012998,2.0054884742041708,
122.0,1379000.0,10799-24-3,6,5.0,2,1960.0,5.0,28,0.134,רחוב לא ידוע,0,1998,1,11303.27868852459,65.0,24.4,39.556076155268016,1.3959004392386447,-0.09573770491803284,26.266471449487554,
141.0,1550000.0,12260-22-3,6,5.0,1,1997.0,2.0,32,0.134,יונה אנגל,5,1998,1,10992.90780141844,28.0,28.2,58.556076155268016,-1.8245119705340755,-0.18092059518842993,-11.226519337016576,
293.43,3850000.0,12254-71-2,9,6.0,3,1996.0,2.0,1,0.134,קמיל הויסמנס,4,1998,1,13120.67614081723,29.0,48.905,183.3675654853621,73.19152892561985,-0.13117948447955435,-9.646280991735537,
47.75,345000.0,10920-25-8,6,2.0,2,1960.0,6.0,17,0.134,יד לבנים,57,1998,1,7225.130890052356,65.0,23.875,-34.693923844731984,-13.465347849176844,-0.22678423808211629,9.892724375995755,
88.86,712000.0,11192-345-100,6,3.0,10,1970.0,22.0,31,0.134,אורן,23,1998,1,8012.604096331308,55.0,29.62,6.416076155268016,6.896454918032788,-0.3115034807519769,-0.06693989071037976,
61.5,430000.0,10825-53-26,6,3.0,1,1960.0,4.0,21,0.134,רוטשילד,73,1998,1,6991.869918699187,65.0,20.5,-20.943923844731984,-26.386809160305347,-0.1429850284340529,3.274045801526718,
32.2,268000.0,12491-4-10,6,2.0,2,1950.0,5.0,9,0.134,אל-כינסא,2,1998,1,8322.981366459626,75.0,16.1,-50.24392384473198,-27.42004246284501,0.4362817617165443,1.307855626326969,
54.4,419000.0,10920-7-20,6,3.0,2,1960.0,4.0,17,0.134,החשמל,13,1998,1,7702.205882352941,65.0,18.133333333333333,-28.043923844731985,-6.815347849176845,-0.17572884416924667,9.892724375995755,
136.17,1343000.0,10796-117-9,6,5.0,3,1984.0,1.0,30,0.134,משה סורוקה,26,1998,1,9862.67166042447,41.0,27.233999999999998,53.726076155268004,5.017398190045242,-0.22114915819109646,-5.910256410256409,
82.02,684000.0,10796-150-2,6,4.0,0,1998.0,4.0,30,0.134,משה סורוקה,51,1998,1,8339.429407461595,27.0,20.505,-0.42392384473198774,-49.13260180995475,-0.34143892873669385,-19.91025641025641,0.0
54.0,413000.0,10827-4-48,6,3.0,3,1950.0,4.0,2,0.134,יצחק שדה,45,1998,1,7648.148148148148,75.0,18.0,-28.443923844731984,-77.58320319432119,-0.05999361430395922,3.3895297249334533,0.0
61.6,562000.0,10785-61-1,6,2.0,0,1960.0,2.0,30,0.134,פרויד,23,1998,1,9123.376623376624,65.0,30.8,-20.843923844731982,-69.55260180995475,-0.2795309620039873,18.08974358974359,0.0
