feature,importance
"מ""ר",15226371.214876566
שכונה,2588152.099500675
size_vs_property_type,2550900.3523176145
price_vs_neighborhood_median,2178728.8395559313
size_vs_neighborhood,1784622.6804173533
building_age_vs_neighborhood,884991.5652026699
שנת עסקה,745991.5318216063
חדרים,453872.13956138387
קומות במבנה,452483.1026447301
סוג נכס,271039.4930520051
ריבית בנק ישראל,243409.80523742887
שנת בנייה,175183.02599377112
קומה,72776.65643326081
חודש עסקה,64592.929584559985
building_age,53515.067336617634
מספר בית,32087.341949758957
interest_rate_deviation,28983.035183952074
sqm_per_room,22554.618186396092
